Genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMYND15,TMEM120B,GMEB1,CD72,CD180,NUDT1,LRWD1,AGER,CDC25A,PIK3R5,PPM1G,PFKL,ARL5C,CLEC1A,EFHD2,PDE4B,CNNM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCARB1,TMEM120B,OXTR,CSF3R,LAMB3,ANGEL2,DOC2B,PTH1R,TACR1,N4BP2L2,ACTG1,BMP3,RPS6KA5,PTPRC,SLCO2B1,RRS1,FOLR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPK,KLF13,RBM15,HLF,LHFP,RGS16,CTNND1,IL1RAP,KCTD6,MED17,SLC4A7,CDC23,FAM20C,SLC25A21,METTL8,TARDBP,FNIP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOXD1,OXTR,ST6GAL1,LAG3,RPH3AL,DOC2B,PTH1R,TSPAN33,KCTD6,FOSL2,TRAIP,RAB43,SLC9A2,SLC4A7,RRS1,ITGBL1,ALDH18A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC14,RNASEH2A,MVK,ELOVL5,ESRRB,TBX6,KLK10,SNX20,CLN3,BFSP2,BAIAP2L1,PARVG,PAPPA,CCRL2,SPP1,SLC28A2,ATG7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OXTR,LAG3,RPH3AL,CSF3R,LAMB3,TRMT2A,DOC2B,TACR1,TRAIP,RASD2,PPP1R2,BMP3,RGS2,RPS6KA5,PTPRC,SLCO2B1,FOLR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL10,IPPK,SMARCD2,KLF13,RBM15,LHFP,RGS16,CTNND1,IL1RAP,KCTD6,MED17,SLC4A7,CDC23,PDZD11,METTL8,TARDBP,FNIP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMYND15,TMEM120B,GMEB1,PCNA,LAMB3,CETN2,PLD4,AGER,FLI1,PIK3R5,PPM1G,EXTL1,ARL5C,EFHD2,MUC15,CYTIP,CNNM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL10,DCLRE1B,FCRL5,BTN1A1,ANGEL2,NUDT1,IGF2,ADRB2,SNX20,FOSL2,SLC6A6,HCK,ANO1,CLN3,BPIFA2,SLC28A2,ATG7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMTM7,MARCKSL1,FCRL5,BTN1A1,NUDT1,IGF2,ADRB2,TBX6,SNX20,SLC6A6,ANO1,CLN3,BAIAP2L1,BPIFA2,SLC28A2,ATG7,DNASE1L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OXTR,LAG3,RPH3AL,CSF3R,LAMB3,TRMT2A,DOC2B,TACR1,TRAIP,RASD2,PPP1R2,BMP3,RGS2,RPS6KA5,PTPRC,SLCO2B1,FOLR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVK,RHBDD3,IRX3,ITPR2,APOBR,TACR1,LIPA,ADRA1A,ATP5J2,ACLY,LGALS1,PAPPA,NINJ1,BCL2,ITGBL1,THRSP,CCR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC14,CD72,RNASEH2A,ELOVL5,PHF23,NUDT1,TBX6,SNX20,CLN3,BFSP2,BAIAP2L1,PARVG,PAPPA,CCRL2,SPP1,SLC28A2,FOLR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL10,IPPK,GCDH,SMARCD2,KLF13,FCRL5,ANGEL2,ESRRB,SMARCA5,PDS5A,KCTD6,MED17,SLC4A7,CDC23,PDZD11,ST3GAL6,F2RL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMTM7,MARCKSL1,FCRL5,BTN1A1,NUDT1,IGF2,ADRB2,TBX6,SNX20,SLC6A6,ANO1,CLN3,BAIAP2L1,BPIFA2,SLC28A2,ATG7,DNASE1L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL10,IPPK,SMARCD2,KLF13,RBM15,LHFP,RGS16,CTNND1,IL1RAP,KCTD6,MED17,SLC4A7,CDC23,PDZD11,METTL8,TARDBP,FNIP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCRL5,P2RY14,BTN1A1,IGF2,PILRA,ADRB2,SLA2,KLK10,HCK,ANO1,CLN3,HHAT,BAIAP2L1,PARVG,ALDH18A1,DEGS2,SLC28A2,CYTIP,ATG7,SLC16A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCLRE1B,LRRC18,P2RY14,NOL3,AGER,LZTFL1,SLC6A6,SCNN1G,PDGFC,ACER3,GALM,DEGS2,ALPK1,METTL8,FADS1,CLEC4G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMYND15,CD72,FCRL5,CD180,LRWD1,TERF1,NOL3,AGER,PIK3R5,PPM1G,EXTL1,ARL5C,CLEC1A,TCOF1,EFHD2,B2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLF,SLC20A1,P2RY14,BTN1A1,CD180,NUDT1,HIF3A,KLK10,ZC3H12D,MTBP,HCK,SCNN1G,FABP3,PARVG,SPP1,SLC28A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD83,RHBDD3,P2RY14,KCNA3,APOBR,MRPL47,ZCCHC17,CHAF1A,KAT5,ITGAD,PSMD5,PPIP5K2,CENPJ,SPP1,GALM,CORIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPK,SMARCD2,KLF13,ZBTB16,SMARCA5,DOC2B,IL1RAP,IQGAP2,ELFN1,TRAIP,SLC9A2,SLC4A7,HSD11B2,PARVG,RAPGEF5,NUPL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARD4,ACADVL,CD83,PEG3,PPM1N,SMARCA5,LY96,CSN2,NOL3,TRO,ASPM,DPYSL5,RAC2,F2RL2,CLEC4G,CCDC61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMYND15,TMEM120B,GMEB1,PCNA,LAMB3,PLD4,AGER,FLI1,PIK3R5,PPM1G,EXTL1,ARL5C,EFHD2,MUC15,CYTIP,CNNM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARD4,ACADVL,CD83,PEG3,PPM1N,SMARCA5,LY96,CSN2,NOL3,TRO,ASPM,DPYSL5,RAC2,F2RL2,CLEC4G,CCDC61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVNS1ABP,TMEM120B,OXTR,ANGEL2,EBI3,TACR1,N4BP2L2,KLK10,ELFN1,ACTG1,TRAIP,RASD2,PPP1R2,RGS2,RPS6KA5,ERBB4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL10,IPPK,SMARCD2,HLF,LHFP,RGS16,CTNND1,IL1RAP,PDS5A,MED17,SLC4A7,CDC23,METTL8,FNIP2,F2RL2,EPHA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMTM7,DET1,MARCKSL1,FCRL5,BTN1A1,NUDT1,IGF2,ADRB2,SNX20,ANO1,CLN3,BAIAP2L1,BPIFA2,ALOX5AP,DNASE1L3,GPC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMYND15,TMEM120B,PLD4,LRWD1,PPM1G,SLC6A6,PFKL,RAD51C,EXTL1,ARL5C,TCOF1,EFHD2,CYTIP,TSHB,SLC16A5,MYO1G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL10,IPPK,SMARCD2,HLF,LHFP,RGS16,CTNND1,IL1RAP,PDS5A,MED17,SLC4A7,CDC23,METTL8,FNIP2,F2RL2,EPHA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWDD2A,RNASEH2A,MVK,RHBDD3,IRX3,TACR1,LIPA,KLK10,ACACA,GLIS2,LGALS1,NINJ1,LPCAT2,BCL2,ALDOC,LCP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2RY13,CD83,TSSC4,RHBDD3,ESRRB,ITPR2,APOBR,ASPM,LGALS1,KRT17,ITGAD,PPIP5K2,CENPJ,TSHB,CCDC61,SNTA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLA2G12A,RHBDD3,ELOVL5,RGS13,CETN2,ESRRB,ITPR2,MRPL47,KLK10,LGALS1,RASSF4,NINJ1,LPCAT2,SPP1,CCR5,SLC24A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD72,CD83,RHBDD3,CD180,KCNA3,APOBR,ZCCHC17,CHAF1A,ITGAD,PSMD5,INCENP,PPIP5K2,SPP1,CORIN,TSHB,CCDC61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPK,PPP1R27,KLF13,RBM15,LHFP,RGS16,CTNND1,IQGAP2,KCTD6,MED17,SLC4A7,CDC23,PDZD11,FAM20C,METTL8,FNIP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMYND15,TMEM120B,GMEB1,PCNA,LAMB3,PLD4,AGER,FLI1,PIK3R5,PPM1G,EXTL1,ARL5C,EFHD2,MUC15,CYTIP,CNNM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVK,RHBDD3,IRX3,ITPR2,APOBR,TACR1,LIPA,ADRA1A,LGALS1,PSTPIP2,PAPPA,NINJ1,BCL2,ITGBL1,THRSP,CCR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX3CR1,CSF3R,NCF4,CCRL2,PTAFR,ALOX5AP,LIF,BCL2,TNFSF11,IL1RAP,CD36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FASN,BCL2,PLIN2,ATG7,ACACA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H19,IGF2,ACTB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLY,FASN,ACACA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSD11B2,SCNN1G,SCNN1B,IRS2,ATP1B1,PIK3R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLY,ELOVL5,FASN,ACACA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACADVL,PRKAA2,NFYA,ELOVL5,ACACA,MED29,MED17,ACLY,FASN,PLIN2,CD36,LPIN1,FADS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLK2,PDGFRA,OXTR,PTAFR,ITPR2,ATP2B2,ADRB2,TACR1,ADRA1A,EDNRB,P2RX4,ERBB4,CAMK4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUSP5,PCNA,NFYA,LIF,BCL2,MDM2,SPP1,ARID3A,NDRG1,EPHA2,MAP4K4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTPRC,CD8A,ITGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLY,ELOVL5,FASN,LPIN1,ACACA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLAH,ACLY,FASN,ACACA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP2A,PCNA,MYBL2,CDC25A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLYCAM1,PECAM1,ITGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDGFRA,TNFSF11,PTH1R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX3CR1,PCNA,RGS16,ITPR2,IRS2,CSF2RB,IL1RAP,SLA2,IQGAP2,FYB,ACTB,PPP1R2,TCOF1,SLCO2B1,PDE4B,S1PR1,SLC39A8,KCNN4,CCR5,CYTIP,IL10,DUSP5,TRAP1,KLF13,GOT1,CD300A,ZBTB16,COG4,LIF,DUSP8,ATP1B1,FOSL2,SFPQ,PTPRC,THEMIS2,CAMK4,NINJ1,BCL2,ADAM8,LCP2,TOP 1,,,,,,,,,,,,,,,,,,,,,,,,
P2RY13,P2RY14,ADORA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD72,PTPRC,RAC2,PLXNB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDGFRA,PDGFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHFR,PCNA,CDC25A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCL2,NLRP3,MEFV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHFR,TCN2,DNMT3B,MTHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP2A,HELLS,FASN,MDM2,FOSL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC28A2,SLC28A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP2A,CD86,CD83,SLC20A1,CSF2RB,IL1RAP,ADRB2,IQGAP2,ITGAL,FYB,LGALS1,ADORA1,RAC2,NLRP3,MYBL2,CCR5,MAP4K4,IL10,DUSP5,TRAP1,NFYA,NFATC1,OPRM1,DUSP8,TRAIP,H19,PTPRC,BCL2,LCP1,PTMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2RY13,OXTR,PTGIR,P2RY14,PTAFR,PTH1R,TACR1,ADRB2,OPRM1,ADRA1A,EDNRB,P2RX4,ADORA1,S1PR1,F2RL2,TSHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAP1,DUSP5,RGS2,SFPQ,EBI3,PTAFR,BCL2,PDE4B,LCP2,FOSL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTGIR,PTAFR,S1PR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLK2,PDGFRA,LAMB3,ITGAL,ACTB,PIK3R5,ACTG1,HCK,PARVG,ITGAD,PDGFC,RAC2,SPP1,BCL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCF4,CD36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCDH,SLC25A21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD86,BCL2,CSF2RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGS2,RGS13,RGS16,ITPR2,PLD4,ADRA1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRB2,ADRA1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLK2,OXTR,RGS2,CALCA,RGS16,PDE4B,ITPR2,ACTB,CORIN,ACTG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD86,PTPRC,CD8A,LCP2,B2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD86,CSF3R,ADORA1,BCL2,NFATC1,ITGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H19,ACADVL,NFYA,PAPPA,GOSR2,EXOSC9,IGF2,PLA2G7,ACTB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUBB2B,HCLS1,LY96,ACTB,ACTG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OXTR,KHDRBS3,MVK,SLC20A1,LY96,IQGAP2,NOL3,RGS2,STMN1,S1PR1,CD36,CNNM3,FADS1,IVNS1ABP,PDGFRA,GOT1,LHFP,CDC7,ATP1B1,CDC25A,ACLY,CDK6,NINJ1,ALOX5AP,LCN2,PLIN2,EPHA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTNND1,NCF4,RAC2,PECAM1,ITGAL,ACTB,ACTG1,PIK3R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX3CR1,P2RY13,OXTR,PTGIR,P2RY14,PTAFR,ADRB2,OPRM1,ADRA1A,EDNRB,CCRL2,ADORA1,CCR5,F2RL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUSP5,PDGFRA,KAT5,BCL2,DUSP8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OXTR,ERBB4,CSN3,CSN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDGFRA,BECN1,FLT3,PDGFC,IGF2,HCLS1,PLXNB1,HCST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALCA,S1PR1,SPP1,TNFSF11,ADAM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCARB1,STARD4,CD36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCARB1,STARD4,CD36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD8A,EBI3,SLA2,MYO1G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGS2,SCN10A,P2RX4,PDE4B,ATP1B1,ADRA1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OXTR,ERBB4,CSN3,CSN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABP3,PRKAA2,THRSP,CD36,ACACA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TENM4,MYRF,SOX10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPK,PPIP5K2,ACER3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLY,FASN,ACACA,JCHAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBLIM1,KIF14,PIEZO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL10,PTPRC,CD300A,BCL2,MZB1,IRS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCDH,GOT1,PHYKPL,SLC25A21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPP1,TNFSF11,ADAM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPP1,TNFSF11,ADAM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCSTAMP,IL34,LIF,TNFSF11,HCLS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRKAA2,THRSP,ACACA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGS2,P2RX4,ATP1B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD8A,SLA2,MYO1G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGS2,P2RX4,ATP1B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRKAA2,THRSP,ACACA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDGFRA,BECN1,FLT3,PDGFC,IGF2,HCLS1,PLXNB1,HCST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCDH,PHYKPL,SLC25A21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCDH,PHYKPL,SLC25A21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL10,HELLS,PTPRC,FLT3,BCL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCARB1,PDGFRA,STARD4,FABP3,PCNA,P2RX4,ELOVL5,PDGFC,IGF2,IRS2,PTH1R,CD36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLY,FASN,ACACA,FADS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OXTR,ERBB4,CSN3,CSN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLY,MVK,ACACA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
