Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,Pathway,UP or DOWN
pterigoid muscle trigeminal motor cell group,17/301,0.02664539,0.999965708,0,0,1.737649218,6.299219909,MVK;RHBDD3;IRX3;ITPR2;APOBR;TACR1;LIPA;ADRA1A;ATP5J2;ACLY;LGALS1;PAPPA;NINJ1;BCL2;ITGBL1;THRSP;CCR5,Allen_Brain_atlas_up,DOWN
r5 part of ventral lateral lemniscal nucleus,17/301,0.02664539,0.999965708,0,0,1.737649218,6.299219909,VAC14;CD72;RNASEH2A;ELOVL5;PHF23;NUDT1;TBX6;SNX20;CLN3;BFSP2;BAIAP2L1;PARVG;PAPPA;CCRL2;SPP1;SLC28A2;FOLR1,Allen_Brain_atlas_up,DOWN
reticular formation of CoPD,17/301,0.02664539,0.999965708,0,0,1.737649218,6.299219909,IL10;IPPK;GCDH;SMARCD2;KLF13;FCRL5;ANGEL2;ESRRB;SMARCA5;PDS5A;KCTD6;MED17;SLC4A7;CDC23;PDZD11;ST3GAL6;F2RL2,Allen_Brain_atlas_up,DOWN
superficial stratum of PHyB-V,17/301,0.02664539,0.999965708,0,0,1.737649218,6.299219909,CMTM7;MARCKSL1;FCRL5;BTN1A1;NUDT1;IGF2;ADRB2;TBX6;SNX20;SLC6A6;ANO1;CLN3;BAIAP2L1;BPIFA2;SLC28A2;ATG7;DNASE1L3,Allen_Brain_atlas_up,DOWN
superficial stratum of PcPL,17/301,0.02664539,0.999965708,0,0,1.737649218,6.299219909,IL10;IPPK;SMARCD2;KLF13;RBM15;LHFP;RGS16;CTNND1;IL1RAP;KCTD6;MED17;SLC4A7;CDC23;PDZD11;METTL8;TARDBP;FNIP2,Allen_Brain_atlas_up,DOWN
Lateral mammillary nucleus,20/384,0.03641228,0.999965708,0,0,1.595594299,5.285963148,FCRL5;P2RY14;BTN1A1;IGF2;PILRA;ADRB2;SLA2;KLK10;HCK;ANO1;CLN3;HHAT;BAIAP2L1;PARVG;ALDH18A1;DEGS2;SLC28A2;CYTIP;ATG7;SLC16A5,Allen_Brain_atlas_up,DOWN
Arcuate hypothalamic nucleus,16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,DCLRE1B;LRRC18;P2RY14;NOL3;AGER;LZTFL1;SLC6A6;SCNN1G;PDGFC;ACER3;GALM;DEGS2;ALPK1;METTL8;FADS1;CLEC4G,Allen_Brain_atlas_up,DOWN
"Gustatory areas, layer 1",16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,ZMYND15;CD72;FCRL5;CD180;LRWD1;TERF1;NOL3;AGER;PIK3R5;PPM1G;EXTL1;ARL5C;CLEC1A;TCOF1;EFHD2;B2M,Allen_Brain_atlas_up,DOWN
Pontine gray,16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,HLF;SLC20A1;P2RY14;BTN1A1;CD180;NUDT1;HIF3A;KLK10;ZC3H12D;MTBP;HCK;SCNN1G;FABP3;PARVG;SPP1;SLC28A3,Allen_Brain_atlas_up,DOWN
"Pontine reticular nucleus, caudal part",16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,CD83;RHBDD3;P2RY14;KCNA3;APOBR;MRPL47;ZCCHC17;CHAF1A;KAT5;ITGAD;PSMD5;PPIP5K2;CENPJ;SPP1;GALM;CORIN,Allen_Brain_atlas_up,DOWN
"Subiculum, dorsal part, molecular layer",16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,IPPK;SMARCD2;KLF13;ZBTB16;SMARCA5;DOC2B;IL1RAP;IQGAP2;ELFN1;TRAIP;SLC9A2;SLC4A7;HSD11B2;PARVG;RAPGEF5;NUPL1,Allen_Brain_atlas_up,DOWN
"dorsal tuberomammillary nucleus, intermediate part (histaminergic)",16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,STARD4;ACADVL;CD83;PEG3;PPM1N;SMARCA5;LY96;CSN2;NOL3;TRO;ASPM;DPYSL5;RAC2;F2RL2;CLEC4G;CCDC61,Allen_Brain_atlas_up,DOWN
insular cortex,16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,ZMYND15;TMEM120B;GMEB1;PCNA;LAMB3;PLD4;AGER;FLI1;PIK3R5;PPM1G;EXTL1;ARL5C;EFHD2;MUC15;CYTIP;CNNM3,Allen_Brain_atlas_up,DOWN
intermediate stratum of PHyB-V,16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,STARD4;ACADVL;CD83;PEG3;PPM1N;SMARCA5;LY96;CSN2;NOL3;TRO;ASPM;DPYSL5;RAC2;F2RL2;CLEC4G;CCDC61,Allen_Brain_atlas_up,DOWN
interstitial nucleus of the posterior limb of the anterior commissure,16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,IVNS1ABP;TMEM120B;OXTR;ANGEL2;EBI3;TACR1;N4BP2L2;KLK10;ELFN1;ACTG1;TRAIP;RASD2;PPP1R2;RGS2;RPS6KA5;ERBB4,Allen_Brain_atlas_up,DOWN
lateral part of PcP,16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,IL10;IPPK;SMARCD2;HLF;LHFP;RGS16;CTNND1;IL1RAP;PDS5A;MED17;SLC4A7;CDC23;METTL8;FNIP2;F2RL2;EPHA2,Allen_Brain_atlas_up,DOWN
lateral tuberal nucleus,16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,CMTM7;DET1;MARCKSL1;FCRL5;BTN1A1;NUDT1;IGF2;ADRB2;SNX20;ANO1;CLN3;BAIAP2L1;BPIFA2;ALOX5AP;DNASE1L3;GPC6,Allen_Brain_atlas_up,DOWN
layer 1 of InsCx,16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,ZMYND15;TMEM120B;PLD4;LRWD1;PPM1G;SLC6A6;PFKL;RAD51C;EXTL1;ARL5C;TCOF1;EFHD2;CYTIP;TSHB;SLC16A5;MYO1G,Allen_Brain_atlas_up,DOWN
mantle zone of PcPL,16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,IL10;IPPK;SMARCD2;HLF;LHFP;RGS16;CTNND1;IL1RAP;PDS5A;MED17;SLC4A7;CDC23;METTL8;FNIP2;F2RL2;EPHA2,Allen_Brain_atlas_up,DOWN
mantle zone of r1Lim,16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,RWDD2A;RNASEH2A;MVK;RHBDD3;IRX3;TACR1;LIPA;KLK10;ACACA;GLIS2;LGALS1;NINJ1;LPCAT2;BCL2;ALDOC;LCP1,Allen_Brain_atlas_up,DOWN
periventricular stratum of r5BM,16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,P2RY13;CD83;TSSC4;RHBDD3;ESRRB;ITPR2;APOBR;ASPM;LGALS1;KRT17;ITGAD;PPIP5K2;CENPJ;TSHB;CCDC61;SNTA1,Allen_Brain_atlas_up,DOWN
r2 part of superior vestibular nucleus,16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,PLA2G12A;RHBDD3;ELOVL5;RGS13;CETN2;ESRRB;ITPR2;MRPL47;KLK10;LGALS1;RASSF4;NINJ1;LPCAT2;SPP1;CCR5;SLC24A5,Allen_Brain_atlas_up,DOWN
r4 part of pontine raphe cell population,16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,CD72;CD83;RHBDD3;CD180;KCNA3;APOBR;ZCCHC17;CHAF1A;ITGAD;PSMD5;INCENP;PPIP5K2;SPP1;CORIN;TSHB;CCDC61,Allen_Brain_atlas_up,DOWN
superficial stratum of ITTh,16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,IPPK;PPP1R27;KLF13;RBM15;LHFP;RGS16;CTNND1;IQGAP2;KCTD6;MED17;SLC4A7;CDC23;PDZD11;FAM20C;METTL8;FNIP2,Allen_Brain_atlas_up,DOWN
superficial stratum of InsCx (cortical plate/marginal zone),16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,ZMYND15;TMEM120B;GMEB1;PCNA;LAMB3;PLD4;AGER;FLI1;PIK3R5;PPM1G;EXTL1;ARL5C;EFHD2;MUC15;CYTIP;CNNM3,Allen_Brain_atlas_up,DOWN
temporal muscle trigeminal motor cell group,16/301,0.04896911,0.999965708,0,0,1.62713023,4.908344914,MVK;RHBDD3;IRX3;ITPR2;APOBR;TACR1;LIPA;ADRA1A;LGALS1;PSTPIP2;PAPPA;NINJ1;BCL2;ITGBL1;THRSP;CCR5,Allen_Brain_atlas_up,DOWN
Leptin influence on immune response,11/110,0.00120308,0.364178539,0,0,3.227257469,21.69643857,CX3CR1;CSF3R;NCF4;CCRL2;PTAFR;ALOX5AP;LIF;BCL2;TNFSF11;IL1RAP;CD36,BioPlanet_2019,DOWN
Ghrelin pathway,May-25,0.00129021,0.364178539,0,0,7.225673653,48.07206903,FASN;BCL2;PLIN2;ATG7;ACACA,BioPlanet_2020,DOWN
Binding of RNA by insulin-like growth factor 2 mRNA binding proteins (IGF2BPs/IMPs/VICKZs),03-Aug,0.00187149,0.364178539,0,0,17.30328358,108.6823124,H19;IGF2;ACTB,BioPlanet_2021,DOWN
ChREBP activates metabolic gene expression,03-Aug,0.00187149,0.364178539,0,0,17.30328358,108.6823124,ACLY;FASN;ACACA,BioPlanet_2022,DOWN
Aldosterone-regulated sodium reabsorption,Jun-42,0.00265261,0.364178539,0,0,4.82033983,28.59528177,HSD11B2;SCNN1G;SCNN1B;IRS2;ATP1B1;PIK3R5,BioPlanet_2023,DOWN
Fatty acyl-CoA biosynthesis,Apr-18,0.00266797,0.364178539,0,0,8.24813154,48.88202085,ACLY;ELOVL5;FASN;ACACA,BioPlanet_2024,DOWN
"Fatty acid, triacylglycerol, and ketone body metabolism",13/173,0.00581737,0.571271779,0,0,2.359573864,12.14450599,ACADVL;PRKAA2;NFYA;ELOVL5;ACACA;MED29;MED17;ACLY;FASN;PLIN2;CD36;LPIN1;FADS1,BioPlanet_2025,DOWN
Calcium signaling pathway,13/178,0.00734121,0.571271779,0,0,2.287474747,11.24122757,MYLK2;PDGFRA;OXTR;PTAFR;ITPR2;ATP2B2;ADRB2;TACR1;ADRA1A;EDNRB;P2RX4;ERBB4;CAMK4,BioPlanet_2026,DOWN
p53 signaling pathway,11/139,0.00738784,0.571271779,0,0,2.492317315,12.23209312,DUSP5;PCNA;NFYA;LIF;BCL2;MDM2;SPP1;ARID3A;NDRG1;EPHA2;MAP4K4,BioPlanet_2027,DOWN
T helper cell surface molecules,Mar-13,0.00842896,0.571271779,0,0,8.649402985,41.31025321,PTPRC;CD8A;ITGAL,BioPlanet_2028,DOWN
Triglyceride biosynthesis,May-38,0.00851325,0.571271779,0,0,4.376247505,20.85777193,ACLY;ELOVL5;FASN;LPIN1;ACACA,BioPlanet_2029,DOWN
Fatty acid biosynthesis,Apr-25,0.00915645,0.571271779,0,0,5.496761335,25.79793271,OLAH;ACLY;FASN;ACACA,BioPlanet_2030,DOWN
G0 and early G1 pathway,Apr-25,0.00915645,0.571271779,0,0,5.496761335,25.79793271,TOP2A;PCNA;MYBL2;CDC25A,BioPlanet_2031,DOWN
Adhesion and diapedesis of lymphocytes,Mar-14,0.01046285,0.571271779,0,0,7.862686567,35.85325393,GLYCAM1;PECAM1;ITGAL,BioPlanet_2032,DOWN
Osteoblast signaling,Mar-14,0.01046285,0.571271779,0,0,7.862686567,35.85325393,PDGFRA;TNFSF11;PTH1R,BioPlanet_2033,DOWN
Interleukin-2 signaling pathway,41/847,0.01277651,0.653997773,0,0,1.49072031,6.499759231,CX3CR1;PCNA;RGS16;ITPR2;IRS2;CSF2RB;IL1RAP;SLA2;IQGAP2;FYB;ACTB;PPP1R2;TCOF1;SLCO2B1;PDE4B;S1PR1;SLC39A8;KCNN4;CCR5;CYTIP;IL10;DUSP5;TRAP1;KLF13;GOT1;CD300A;ZBTB16;COG4;LIF;DUSP8;ATP1B1;FOSL2;SFPQ;PTPRC;THEMIS2;CAMK4;NINJ1;BCL2;ADAM8;LCP2;TOP1,BioPlanet_2034,DOWN
Nucleotide-like (purinergic) G-protein coupled receptors,Mar-16,0.01531361,0.668086121,0,0,6.652353617,27.80027297,P2RY13;P2RY14;ADORA1,BioPlanet_2035,DOWN
Sema4D in semaphorin signaling,Apr-29,0.01546887,0.668086121,0,0,4.61632287,19.2451072,CD72;PTPRC;RAC2;PLXNB1,BioPlanet_2036,DOWN
PDGF genes and receptors,02-Jun,0.01549895,0.668086121,0,0,14.39865872,59.99897034,PDGFRA;PDGFC,BioPlanet_2037,DOWN
G1/S-specific transcription,Mar-17,0.0181384,0.700761104,0,0,6.176865672,24.76752517,DHFR;PCNA;CDC25A,BioPlanet_2038,DOWN
Inflammasomes,Mar-17,0.0181384,0.700761104,0,0,6.176865672,24.76752517,BCL2;NLRP3;MEFV,BioPlanet_2039,DOWN
One-carbon metabolism,Apr-31,0.0194431,0.700761104,0,0,4.273930133,16.84040952,DHFR;TCN2;DNMT3B;MTHFS,BioPlanet_2040,DOWN
Delta Np63 pathway,May-47,0.02034618,0.700761104,0,0,3.436876248,13.38615954,TOP2A;HELLS;FASN;MDM2;FOSL2,BioPlanet_2041,DOWN
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,02-Jul,0.02121869,0.700761104,0,0,11.51833085,44.37866246,SLC28A2;SLC28A3,BioPlanet_2042,DOWN
T cell receptor regulation of apoptosis,30/603,0.02186661,0.700761104,0,0,1.52703704,5.837548654,TOP2A;CD86;CD83;SLC20A1;CSF2RB;IL1RAP;ADRB2;IQGAP2;ITGAL;FYB;LGALS1;ADORA1;RAC2;NLRP3;MYBL2;CCR5;MAP4K4;IL10;DUSP5;TRAP1;NFYA;NFATC1;OPRM1;DUSP8;TRAIP;H19;PTPRC;BCL2;LCP1;PTMA,BioPlanet_2043,DOWN
Neuroactive ligand-receptor interaction,16/272,0.02224638,0.700761104,0,0,1.814212329,6.904122514,P2RY13;OXTR;PTGIR;P2RY14;PTAFR;PTH1R;TACR1;ADRB2;OPRM1;ADRA1A;EDNRB;P2RX4;ADORA1;S1PR1;F2RL2;TSHB,BioPlanet_2044,DOWN
Interleukin-5 regulation of apoptosis,10/144,0.02388538,0.719451712,0,0,2.160352086,8.067810128,TRAP1;DUSP5;RGS2;SFPQ;EBI3;PTAFR;BCL2;PDE4B;LCP2;FOSL2,BioPlanet_2045,DOWN
Small ligand GPCRs,Mar-19,0.02459664,0.719451712,0,0,5.404197761,20.0233387,PTGIR;PTAFR;S1PR1,BioPlanet_2046,DOWN
Focal adhesion,14/233,0.02660047,0.722524036,0,0,1.853590261,6.722649965,MYLK2;PDGFRA;LAMB3;ITGAL;ACTB;PIK3R5;ACTG1;HCK;PARVG;ITGAD;PDGFC;RAC2;SPP1;BCL2,BioPlanet_2047,DOWN
Cross-presentation of particulate exogenous antigens (phagosomes),02-Aug,0.02766778,0.722524036,0,0,9.59811227,34.4331005,NCF4;CD36,BioPlanet_2048,DOWN
Lysine catabolism,02-Aug,0.02766778,0.722524036,0,0,9.59811227,34.4331005,GCDH;SLC25A21,BioPlanet_2049,DOWN
Interleukin-3 regulation of hematopoietic cells,Mar-20,0.02823049,0.722524036,0,0,5.086040386,18.14370028,CD86;BCL2;CSF2RB,BioPlanet_2050,DOWN
G alpha q pathway,Jun-70,0.03023408,0.75035488,0,0,2.707505622,9.472981503,RGS2;RGS13;RGS16;ITPR2;PLD4;ADRA1A,BioPlanet_2051,DOWN
Adrenoceptors,02-Sep,0.03479079,0.832944128,0,0,8.226527571,27.62799108,ADRB2;ADRA1A,BioPlanet_2052,DOWN
Myometrial relaxation and contraction pathways,10/155,0.03699822,0.832944128,0,0,1.995319083,6.578338749,MYLK2;OXTR;RGS2;CALCA;RGS16;PDE4B;ITPR2;ACTB;CORIN;ACTG1,BioPlanet_2053,DOWN
T cell receptor signaling in naive CD8+ T cells,May-55,0.03715622,0.832944128,0,0,2.885778443,9.501783922,CD86;PTPRC;CD8A;LCP2;B2M,BioPlanet_2054,DOWN
RANKL regulation of apoptosis and immune response,Jun-74,0.03824089,0.832944128,0,0,2.547711438,8.315347807,CD86;CSF3R;ADORA1;BCL2;NFATC1;ITGAL,BioPlanet_2055,DOWN
Diabetes pathways,9/137,0.04210974,0.832944128,0,0,2.033026638,6.439563675,H19;ACADVL;NFYA;PAPPA;GOSR2;EXOSC9;IGF2;PLA2G7;ACTB,BioPlanet_2056,DOWN
Pathogenic Escherichia coli infection,May-57,0.04237711,0.832944128,0,0,2.774499079,8.770599028,TUBB2B;HCLS1;LY96;ACTB;ACTG1,BioPlanet_2057,DOWN
TGF-beta regulation of extracellular matrix,27/565,0.04356646,0.832944128,0,0,1.459663126,4.573807395,OXTR;KHDRBS3;MVK;SLC20A1;LY96;IQGAP2;NOL3;RGS2;STMN1;S1PR1;CD36;CNNM3;FADS1;IVNS1ABP;PDGFRA;GOT1;LHFP;CDC7;ATP1B1;CDC25A;ACLY;CDK6;NINJ1;ALOX5AP;LCN2;PLIN2;EPHA2,BioPlanet_2058,DOWN
Leukocyte transendothelial migration,8/117,0.04402304,0.832944128,0,0,2.121045734,6.624115397,CTNND1;NCF4;RAC2;PECAM1;ITGAL;ACTB;ACTG1;PIK3R5,BioPlanet_2059,DOWN
Class A GPCRs (rhodopsin-like),14/253,0.04781169,0.832944128,0,0,1.696700338,5.158792263,CX3CR1;P2RY13;OXTR;PTGIR;P2RY14;PTAFR;ADRB2;OPRM1;ADRA1A;EDNRB;CCRL2;ADORA1;CCR5;F2RL2,BioPlanet_2060,DOWN
ATF2 transcription factor network,May-59,0.04801804,0.832944128,0,0,2.67146263,8.111037534,DUSP5;PDGFRA;KAT5;BCL2;DUSP8,BioPlanet_2061,DOWN
lactation (GO:0007595),04-Sep,0.00013988,0.3264878,0,0,23.10553064,205.0546877,OXTR;ERBB4;CSN3;CSN2,GO_Biological_Processes_2018,DOWN
positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068),Aug-53,0.00036657,0.328193335,0,0,5.154753551,40.78091472,PDGFRA;BECN1;FLT3;PDGFC;IGF2;HCLS1;PLXNB1;HCST,GO_Biological_Processes_2019,DOWN
regulation of bone resorption (GO:0045124),May-22,0.00069514,0.328193335,0,0,8.50211342,61.82224205,CALCA;S1PR1;SPP1;TNFSF11;ADAM8,GO_Biological_Processes_2020,DOWN
sterol import (GO:0035376),03-Jun,0.00070307,0.328193335,0,0,28.84179104,209.3929405,SCARB1;STARD4;CD36,GO_Biological_Processes_2021,DOWN
cholesterol import (GO:0070508),03-Jun,0.00070307,0.328193335,0,0,28.84179104,209.3929405,SCARB1;STARD4;CD36,GO_Biological_Processes_2022,DOWN
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460),Apr-14,0.00097139,0.333906976,0,0,11.54977578,80.11826273,CD8A;EBI3;SLA2;MYO1G,GO_Biological_Processes_2023,DOWN
regulation of cardiac muscle contraction (GO:0055117),Jun-35,0.00100143,0.333906976,0,0,5.986041462,41.34152687,RGS2;SCN10A;P2RX4;PDE4B;ATP1B1;ADRA1A,GO_Biological_Processes_2024,DOWN
body fluid secretion (GO:0007589),Apr-15,0.00128958,0.334593466,0,0,10.49925262,69.85616621,OXTR;ERBB4;CSN3;CSN2,GO_Biological_Processes_2025,DOWN
long-chain fatty acid transport (GO:0015909),May-25,0.00129021,0.334593466,0,0,7.225673653,48.07206903,FABP3;PRKAA2;THRSP;CD36;ACACA,GO_Biological_Processes_2026,DOWN
central nervous system myelination (GO:0022010),03-Aug,0.00187149,0.397095333,0,0,17.30328358,108.6823124,TENM4;MYRF;SOX10,GO_Biological_Processes_2027,DOWN
polyol biosynthetic process (GO:0046173),03-Aug,0.00187149,0.397095333,0,0,17.30328358,108.6823124,IPPK;PPIP5K2;ACER3,GO_Biological_Processes_2028,DOWN
positive regulation of metabolic process (GO:0009893),Apr-18,0.00266797,0.491449185,0,0,8.24813154,48.88202085,ACLY;FASN;ACACA;JCHAIN,GO_Biological_Processes_2029,DOWN
regulation of integrin activation (GO:0033623),03-Sep,0.00273729,0.491449185,0,0,14.41865672,85.08141041,FBLIM1;KIF14;PIEZO1,GO_Biological_Processes_2030,DOWN
regulation of B cell proliferation (GO:0030888),Jun-43,0.00299662,0.499579836,0,0,4.689817254,27.24910142,IL10;PTPRC;CD300A;BCL2;MZB1;IRS2,GO_Biological_Processes_2031,DOWN
aspartate family amino acid catabolic process (GO:0009068),Apr-19,0.00329044,0.511992924,0,0,7.697857499,44.00659666,GCDH;GOT1;PHYKPL;SLC25A21,GO_Biological_Processes_2032,DOWN
